GENE	SP 1	SP 2	SP 3
JCHAIN	48.1716046366811	16.1025746342435	21.4624306989443
COL3A1	13.0230108120048	26.5545446865666	15.887613811561
SPINK13	5.18010350042271	8.36626539124276	17.5966437017908
IGHG2	177.132183108789	48.0200270539199	60.9202724254267
COL1A1	23.9504569890221	46.8513547564257	27.9368144386548
CRYAB	7.25430673526774	9.59114815888942	17.1291892934887
XBP1	10.8907051452794	4.90415755570223	5.16052664907865
COL1A2	15.7701759141647	28.8837284590238	16.167366921558
PDK4	3.8914574038337	6.16679192447588	13.3436064225552
IGHM	27.9205101576793	8.71432433460525	9.73615078821098
BGN	11.5875344611101	21.1572221677213	12.7477444021085
FGB	4.83434593503515	5.20560191607862	11.0146794375364
SMAP2	6.15936288993172	3.19810962229333	3.57763560168722
SPARC	25.1880724367616	48.5292342539137	28.4260441129201
PROS1	3.61722681376933	5.94177038856476	12.4596541930632
CXCR4	10.783216266518	6.87531743635263	5.15029301779101
IGFBP7	32.3353070331083	52.8936586150526	34.713348232636
TGFBI	27.2667099813157	48.5558917131581	87.6641084483272
PTPRC	8.66262335604761	5.01159316334428	3.42556346484397
COL4A2	2.5839130607054	5.82869597632189	2.98184437467112
SPP1	6.58471771351607	10.6502295940369	15.6108749274938
TP53INP1	4.23740796609527	1.59626732198867	1.90550085424785
MGP	16.3125873242922	23.6675268303027	16.246930519773
SERPINA1	10.0322094080864	17.6596002469735	26.7825116927973
TRBC2	4.57864454379981	2.09554287829948	2.32253596710301
COL5A1	3.31681647531879	6.38007751055691	3.56843635966898
CES4A	2.00636656882555	2.64397224105569	5.30355383601754
IL7R	15.8438212819262	8.95888659484105	7.2203381252395
TIMP2	4.1943910781222	6.33523677670312	3.3306250610007
CPE	5.00368704907279	7.53960310410888	11.8794028749791
CD37	3.64632200559101	1.58908304113631	1.48988506199965
MYL9	10.0338552106819	14.4858512395847	8.51864763316818
VEGFA	6.32573248304375	7.69839124622623	11.2576721756214
IGLC1	53.8686474660486	17.813864091303	18.534860485512
COL6A2	3.23783685174666	7.16577383303546	5.85740503982828
BIRC3	4.88360039454001	5.0253303539779	9.02095384536443
IGHG1	122.229977095712	33.3082409844951	54.3178211719465
EFEMP1	4.17910171842274	7.47277144673025	3.81649124396885
PARD3	1.90094393767726	1.3004218666913	3.58264524862165
LYZ	8.25712478604608	6.39919018072323	4.83923775744397
AEBP1	10.8662736545278	14.23775187389	7.54026827520359
PNCK	1.90867162003217	2.99714299442209	5.94182806248311
IGHD	5.48422848199163	1.30699433513725	1.6279720071288
PTMS	4.27677664087283	7.81400770195489	5.27634384334753
UBC	108.419020520913	149.491867892087	231.979395665996
CCL19	2.14954291527505	0.427345532677626	0.788547346849446
COL4A1	8.15019599641804	14.1995731677746	8.89996034329527
LOX	2.66993576985895	4.48047867916444	8.90280939612916
SSR4	7.36905378374469	4.10987681167974	4.84069189143424
HSPG2	4.49601016388747	9.84319859308483	5.65629615758055
FGG	2.84008490306408	1.99731719782895	5.52504031900934
CD52	2.34614088790841	1.05748983298511	1.33498079509434
PRELP	2.0359325219417	3.07153688207931	1.64435248348242
CYP3A5	0.89414848959858	0.724992992528525	2.81899425645996
POU2AF1	1.24026817233994	0.326173827603883	0.277702481765166
CAVIN1	2.93424279264835	4.6034759721482	2.20907987819399
SLC6A3	1.71889895126281	1.4342361055095	4.91020475001623
HERPUD1	5.69803690990687	3.4379463549549	3.83210502317462
SPON2	0.762815150282961	1.51564440109599	0.629453795153
KRT18	2.31038091545086	3.10415632853741	4.71670657662634
CD79A	1.48679543746294	0.295791241230342	0.583218166586146
THBS2	3.63068835280923	5.00214921818148	2.82485381481303
C5orf46	1.16640849056685	1.53251502786516	3.31421551800635
CLEC2D	3.18932988920842	1.31904384799088	1.8497396057314
FTH1	21.7373719690002	34.4685482381984	39.9754817058244
ABLIM3	1.64880430846287	2.33878296830663	4.27744317494109
APOE	4.93800690785418	2.83908067113474	3.33471748650177
COL6A1	1.47116422810116	2.91686201142824	2.40535069681959
MAOA	1.21359192667483	1.41728190142549	3.86851665392171
CYTIP	2.80619492068991	1.47750891022117	1.40154845268565
FBLN5	2.98987564761543	3.96695347917902	2.2964471529032
TFPI	2.64377062327536	3.90073948371531	6.59048826460437
SELL	1.1770509275493	0.368682466400291	0.311036474608105
FLNA	5.05825133747188	7.06723989956004	5.39697821545419
PLOD2	1.94424390645004	2.71742626203438	4.98058247579691
TXNDC5	4.25807167780871	2.06808941704051	2.48888497391368
TIMP3	2.90513493576337	4.90384207101086	2.43180845305222
MGST1	1.14521734204352	1.72349043320716	3.36276713531114
BANK1	0.794940590645562	0.0844075873118562	0.21256577456861
HTRA1	2.73799940625391	4.58873948784233	4.87843318843261
EGLN3	1.34674556114158	1.51661194255304	2.97580778766567
SMCHD1	4.00638272974896	2.31184335012967	1.69847829877014
ELN	1.0487314463601	2.270046041891	1.07918908470818
ENPP3	1.16812850691299	1.54705081464212	2.9192971227283
MS4A1	1.2139512284013	0.291024105133174	0.33101465932435
COL6A3	4.11175856832707	5.94046412463734	3.25639161701205
BHMT	1.3230321485736	1.82999787782164	3.98088289867773
ZFP36L2	8.40782198263365	5.6907723829364	4.46987888995761
TAGLN	11.4931807905467	13.550999032641	8.75884169605102
C19orf33	1.38190410746674	2.00594710741808	3.67483444792495
